coord	gene_name	rel_location	utr5_st	utr5_end	cds_st	cds_end	utr3_st	utr3_end	utr5_size	cds_size	utr3_size
92560	ftsI	1.64968873797397	1154	1148	1147	-619	-620	-612.5	6	1766	-7.5
92564	ftsI	1.65195246179966	1158	1152	1151	-615	-616	-608.5	6	1766	-7.5
95154	murF	1.37159676232524	501.5	505	504	-854	-855	-851	-3.5	1358	-4
95155	murF	1.37233259749816	502.5	506	505	-853	-854	-850	-3.5	1358	-4
95157	murF	1.373804267844	504.5	508	507	-851	-852	-848	-3.5	1358	-4
155975	yadV	1.69500674763833	530.5	515	514	-226	-227	-275	15.5	740	48
155977	yadV	1.69770580296896	532.5	517	516	-224	-225	-273	15.5	740	48
181158	degP	1.19298245614035	338	275	274	-1150	-1151	-1227.5	63	1424	76.5
181361	degP	1.33543859649123	541	478	477	-947	-948	-1024.5	63	1424	76.5
185312	dapD	1.23030303030303	215	190	189	-635	-636	-650.5	25	824	14.5
188773	map	1.07798742138365	91	62	61	-733	-734	-836	29	794	102
224808	rrsH	1.67315175097276	1217.5	1038	1037	-504	-505	-538.5	179.5	1541	33.5
225109	rrsH	1.86835278858625	1518.5	1339	1338	-203	-204	-237.5	179.5	1541	33.5
225172	rrsH	1.90920881971466	1581.5	1402	1401	-140	-141	-174.5	179.5	1541	33.5
227670	rrlH	1.65840220385675	2002	1912	1911	-992	-993	-1039	90	2903	46
228009	rrlH	1.77513774104683	2341	2251	2250	-653	-654	-700	90	2903	46
228256	rrlH	1.86019283746556	2588	2498	2497	-406	-407	-453	90	2903	46
228273	rrlH	1.86604683195592	2605	2515	2514	-389	-390	-436	90	2903	46
228310	rrlH	1.87878787878788	2642	2552	2551	-352	-353	-399	90	2903	46
228994	aspU	1.87012987012987	91.5	67	66	-10	-11	-91.5	24.5	76	80.5
236997	aspV	1.87012987012987	131.5	67	66	-10	-11	-174	64.5	76	163
304453	ecpE	0.736334405144695	113.5	-41	-42	-752	-753	-736.5	154.5	710	-16.5
304455	ecpE	0.7491961414791	115.5	-39	-40	-750	-751	-734.5	154.5	710	-16.5
344399	yahL	1.27450980392157	343.5	224	223	-592	-593	-798.5	119.5	815	205.5
344400	yahL	1.27573529411765	344.5	225	224	-591	-592	-797.5	119.5	815	205.5
344402	yahL	1.2781862745098	346.5	227	226	-589	-590	-795.5	119.5	815	205.5
344404	yahL	1.28063725490196	348.5	229	228	-587	-588	-793.5	119.5	815	205.5
384091	yaiS	1.05913978494624	93	33	32	-525	-526	-833	60	557	307
384092	yaiS	1.06093189964158	94	34	33	-524	-525	-832	60	557	307
384095	yaiS	1.0663082437276	97	37	36	-521	-522	-829	60	557	307
598950	cusA	1.07538167938931	241	237	236	-2907	-2908	-2958	4	3143	50
598956	cusA	1.07729007633588	247	243	242	-2901	-2902	-2952	4	3143	50
657513	cspE	2.44444444444444	307.5	222	221	12	11	-15	85.5	209	26
741147	dtpD	1.04925775978408	146	73	72	-1409	-1410	-1544.5	73	1481	134.5
754602	gltA	2.37799717912553	1611	1418	1417	134	133	-220.5	193	1283	353.5
830649	ybiH	2.05240174672489	676	678	677	6	5	-108.5	-2	671	113.5
864070	fsaA	1.64705882352941	492.5	429	428	-234	-235	-272	63.5	662	37
864072	fsaA	1.6500754147813	494.5	431	430	-232	-233	-270	63.5	662	37
926286	infA	1.28310502283105	187	62	61	-157	-158	-299.5	125	218	141.5
1007823	rlmL	0.834710743801653	100	-20	-21	-2129	-2130	-2135	120	2108	5
1031696	serT	1.81818181818182	173.5	72	71	-16	-17	-229.5	101.5	87	212.5
1046636	gfcD	1.37577491654745	809	788	787	-1309	-1310	-1309	21	2096	-1
1046637	gfcD	1.37625178826896	810	789	788	-1308	-1309	-1308	21	2096	-1
1046642	gfcD	1.37863614687649	815	794	793	-1303	-1304	-1303	21	2096	-1
1085295	phoH	1.28544600938967	474.5	304	303	-761	-762	-786	170.5	1064	24
1147210	yceD	1.79885057471264	433.5	417	416	-105	-106	-131	16.5	521	25
1195459	icd	1.26938449240608	421	337	336	-914	-915	-1161	84	1250	246
1261171	prs	1.25738396624473	304.5	244	243	-704	-705	-779.5	60.5	947	74.5
1261175	prs	1.26160337552743	308.5	248	247	-700	-701	-775.5	60.5	947	74.5
1333188	topA	1.82409545804465	2329	2141	2140	-457	-458	-562	188	2597	104
1352832	sapD	1.19838872104733	196	197	196	-796	-797	-796	-1	992	-1
1531510	yncI	1.59047619047619	185	186	185	-129	-130	-217.5	-1	314	87.5
1585688	ydeP	1.65	1604	1482	1481	-798	-799	-965	122	2279	166
1585691	ydeP	1.65131578947368	1607	1485	1484	-795	-796	-962	122	2279	166
1585692	ydeP	1.65175438596491	1608	1486	1485	-794	-795	-961	122	2279	166
1586582	ydeP	2.5748502994012	2498	2376	2375	96	95	-71	122	2279	166
1590234	yneL	0.217391304347826	26.5	-99	-100	-192	-193	-192	125.5	92	-1
1590237	yneL	0.241106719367589	29.5	-96	-97	-189	-190	-189	125.5	92	-1
1590238	yneL	0.24901185770751	30.5	-95	-96	-188	-189	-188	125.5	92	-1
1605394	lsrB	1.33626588465298	348	344	343	-679	-680	-692.5	4	1022	12.5
1605396	lsrB	1.33822091886608	350	346	345	-677	-678	-690.5	4	1022	12.5
1605397	lsrB	1.33919843597263	351	347	346	-676	-677	-689.5	4	1022	12.5
1627805	ydfG	1.38688085676037	355.5	289	288	-458	-459	-502.5	66.5	746	43.5
1647607	ydfJ	0.497068594879812	5086	-5147	-5148	-5231	-5232	4652	10233	83	-9884
1720771	slyA	1.87816091954023	403.5	382	381	-53	-54	-153.5	21.5	434	99.5
1720775	slyA	1.88735632183908	407.5	386	385	-49	-50	-149.5	21.5	434	99.5
1745518	ydhQ	1.51551312649165	666.5	648	647	-609	-610	-763	18.5	1256	153
1851878	ansA	2.36363636363636	1100.5	1019	1018	2	1	-3.5	81.5	1016	4.5
1851879	ansA	2.54545454545455	1101.5	1020	1019	3	2	-2.5	81.5	1016	4.5
1851881	ansA	2.90909090909091	1103.5	1022	1021	5	4	-0.5	81.5	1016	4.5
1857076	ydjI	1.17204301075269	144.5	144	143	-693	-694	-703.5	0.5	836	9.5
1904737	manZ	1.98943661971831	847.5	843	842	-9	-10	-36.5	4.5	851	26.5
1904739	manZ	1.99178403755869	849.5	845	844	-7	-8	-34.5	4.5	851	26.5
1904740	manZ	1.99295774647887	850.5	846	845	-6	-7	-33.5	4.5	851	26.5
1904745	manZ	1.99882629107981	855.5	851	850	-1	-2	-28.5	4.5	851	26.5
1904746	manZ	2	856.5	852	851	0	-1	-27.5	4.5	851	26.5
1931776	purT	1.75996607294317	961	896	895	-283	-284	-311	65	1178	27
1991867	leuZ	1.60919540229885	149	53	52	-34	-35	-40.5	96	86	5.5
1997880	yecS	1.10463378176383	66.5	70	69	-599	-600	-606.5	-3.5	668	6.5
2051125	yeeJ	1.87438180019782	6343	6188	6187	-889	-890	-1020	155	7076	130
2069471	yoeA	2.79431563201197	943	837	836	531	530	-137.5	106	305	667.5
2069472	yoeA	2.79581151832461	944	838	837	532	531	-136.5	106	305	667.5
2108201	glf	1.88405797101449	974	976	975	-128	-129	-132	-2	1103	3
2108202	glf	1.88496376811594	975	977	976	-127	-128	-131	-2	1103	3
2108203	glf	1.88586956521739	976	978	977	-126	-127	-130	-2	1103	3
2108334	wzxB	0.333333333333333	0	-2	-3	-1250	-1251	-1248.5	2	1247	-2.5
2167800	yegZ	1.93427230046948	238	199	198	-14	-15	-101.5	39	212	86.5
2167801	yegZ	1.93896713615023	239	200	199	-13	-14	-100.5	39	212	86.5
2167807	yegZ	1.96713615023474	245	206	205	-7	-8	-94.5	39	212	86.5
2243853	yeiG	0.5625	71	-56	-57	-893	-894	-909	127	836	15
2288282	yejO	1.74970297029703	1942.5	1893	1892	-632	-633	-1232	49.5	2524	599
2400774	nuoF	1.41629297458894	581.5	557	556	-781	-782	-779.5	24.5	1337	-2.5
2400777	nuoF	1.41853512705531	584.5	560	559	-778	-779	-776.5	24.5	1337	-2.5
2400779	nuoF	1.42002989536622	586.5	562	561	-776	-777	-774.5	24.5	1337	-2.5
2401070	nuoF	1.63751868460389	877.5	853	852	-485	-486	-483.5	24.5	1337	-2.5
2401649	nuoE	1.19560878243513	94.5	98	97	-403	-404	-404.5	-3.5	500	0.5
2401650	nuoE	1.19760479041916	95.5	99	98	-402	-403	-403.5	-3.5	500	0.5
2416405	pta	1.77342657342657	1694.5	1659	1658	-486	-487	-581	35.5	2144	94
2416409	pta	1.77529137529138	1698.5	1663	1662	-482	-483	-577	35.5	2144	94
2430272	cvpA	0.885714285714286	14.5	-2	-3	-491	-492	-620.5	16.5	488	128.5
2430274	cvpA	1	16.5	0	-1	-489	-490	-618.5	16.5	488	128.5
2543837	ucpA	1.00757575757576	156	6	5	-786	-787	-850.5	150	791	63.5
2580636	tktB	1.49950099800399	1009	1001	1000	-1003	-1004	-1050.5	8	2003	46.5
2580639	tktB	1.50099800399202	1012	1004	1003	-1000	-1001	-1047.5	8	2003	46.5
2705028	lepB	1.71179487179487	828	694	693	-281	-282	-289	134	974	7
2705030	lepB	1.71384615384615	830	696	695	-279	-280	-287	134	974	7
2712750	trmN	1.9810298102981	714.5	724	723	-14	-15	-80	-9.5	737	65
2712751	trmN	1.98238482384824	715.5	725	724	-13	-14	-79	-9.5	737	65
2712752	trmN	1.98373983739837	716.5	726	725	-12	-13	-78	-9.5	737	65
2712753	trmN	1.98509485094851	717.5	727	726	-11	-12	-77	-9.5	737	65
2712754	trmN	1.98644986449865	718.5	728	727	-10	-11	-76	-9.5	737	65
2712755	trmN	1.98780487804878	719.5	729	728	-9	-10	-75	-9.5	737	65
2712757	trmN	1.99051490514905	721.5	731	730	-7	-8	-73	-9.5	737	65
2726633	rrlG	1.1215564738292	397.5	353	352	-2551	-2552	-2643.5	44.5	2903	91.5
2726670	rrlG	1.13429752066116	434.5	390	389	-2514	-2515	-2606.5	44.5	2903	91.5
2726687	rrlG	1.14015151515152	451.5	407	406	-2497	-2498	-2589.5	44.5	2903	91.5
2726934	rrlG	1.22520661157025	698.5	654	653	-2250	-2251	-2342.5	44.5	2903	91.5
2727273	rrlG	1.34194214876033	1037.5	993	992	-1911	-1912	-2003.5	44.5	2903	91.5
2729756	rrsG	1.09143968871595	225	141	140	-1401	-1402	-1622.5	84	1541	220.5
2729819	rrsG	1.13229571984436	288	204	203	-1338	-1339	-1559.5	84	1541	220.5
2731007	rrsG	1.90272373540856	1476	1392	1391	-150	-151	-371.5	84	1541	220.5
2758360	yfjH	1.74921630094044	837	717	716	-240	-241	-262	120	956	21
2758361	yfjH	1.75026123301985	838	718	717	-239	-240	-261	120	956	21
2758362	yfjH	1.75130616509927	839	719	718	-238	-239	-260	120	956	21
2802924	nrdE	1.73519813519814	1561.5	1577	1576	-568	-569	-573	-15.5	2144	4
2807241	proX	1.11077542799597	137	110	109	-883	-884	-979	27	992	95
2878462	ygbF	0.776606954689146	367.5	-106	-107	-391	-392	-392	473.5	284	0
2880782	casD	1.60592592592593	400.5	409	408	-266	-267	-267.5	-8.5	674	0.5
2947419	metZ	1.42857142857143	135.5	33	32	-44	-45	-61	102.5	76	16
2947534	metW	1.49350649350649	53	38	37	-39	-40	-56	15	76	16
2947639	metV	1.42857142857143	48	33	32	-44	-45	-81	15	76	36
3079690	tktA	1.02359437751004	202	47	46	-1945	-1946	-2084	155	1991	138
3084324	speA	1.19726858877086	457	390	389	-1587	-1588	-1591.5	67	1976	3.5
3089157	galP	1.62652329749104	1084	874	873	-521	-522	-559.5	210	1394	37.5
3179999	ygiB	1.38095238095238	328	256	255	-416	-417	-419	72	671	2
3180005	ygiB	1.38988095238095	334	262	261	-410	-411	-413	72	671	2
3207850	ttdB	1.79207920792079	476.5	480	479	-126	-127	-150	-3.5	605	23
3210888	rpsU	1.5	225	108	107	-108	-109	-163.5	117	215	54.5
3267712	tdcR	2.890625	488.5	333	332	114	113	-14	155.5	218	127
3270298	rnpB	1.22015915119363	388	83	82	-294	-295	-310.5	305	376	15.5
3318257	metY	1.58441558441558	146.5	45	44	-32	-33	-206	101.5	76	173
3410754	dusB	1.49171842650104	637.5	475	474	-491	-492	-504	162.5	965	12
3410755	dusB	1.49275362318841	638.5	476	475	-490	-491	-503	162.5	965	12
3410760	dusB	1.49792960662526	643.5	481	480	-485	-486	-498	162.5	965	12
3424269	rrlD	1.13429752066116	434.5	390	389	-2514	-2515	-2601.5	44.5	2903	86.5
3424286	rrlD	1.14015151515152	451.5	407	406	-2497	-2498	-2584.5	44.5	2903	86.5
3424533	rrlD	1.22520661157025	698.5	654	653	-2250	-2251	-2337.5	44.5	2903	86.5
3427361	rrsD	1.09143968871595	173.5	141	140	-1401	-1402	-1638	32.5	1541	236
3451079	rplB	1.65328467153285	543.5	537	536	-285	-286	-294	6.5	821	8
3452402	rplC	1.16825396825397	109.5	106	105	-524	-525	-540.5	3.5	629	15.5
3452704	rplC	1.64761904761905	411.5	408	407	-222	-223	-238.5	3.5	629	15.5
3472764	fusA	1.64539007092199	1398.5	1365	1364	-750	-751	-764	33.5	2114	13
3472769	fusA	1.64775413711584	1403.5	1370	1369	-745	-746	-759	33.5	2114	13
3473866	rpsG	1.60185185185185	337	325	324	-215	-216	-263.5	12	539	47.5
3493118	tsgA	1.46615905245347	684.5	551	550	-631	-632	-762	133.5	1181	130
3575534	yhgN	1.78114478114478	558.5	464	463	-130	-131	-158.5	94.5	593	27.5
3575537	yhgN	1.78619528619529	561.5	467	466	-127	-128	-155.5	94.5	593	27.5
3575538	yhgN	1.78787878787879	562.5	468	467	-126	-127	-154.5	94.5	593	27.5
3575539	yhgN	1.78956228956229	563.5	469	468	-125	-126	-153.5	94.5	593	27.5
3575540	yhgN	1.79124579124579	564.5	470	469	-124	-125	-152.5	94.5	593	27.5
3647672	gor	2.77777777777778	1408	1374	1373	21	20	-6	34	1352	26
3647674	gor	2.85185185185185	1410	1376	1375	23	22	-4	34	1352	26
3708660	proK	1.58441558441558	498.5	45	44	-32	-33	-78	453.5	76	45
3745986	yiaN	1.92566510172144	1182.5	1183	1182	-95	-96	-101.5	-0.5	1277	5.5
3782500	cysE	1.92457420924574	784.5	760	759	-62	-63	-102	24.5	821	39
3782501	cysE	1.92579075425791	785.5	761	760	-61	-62	-101	24.5	821	39
3782502	cysE	1.92700729927007	786.5	762	761	-60	-61	-100	24.5	821	39
3783640	gpsA	1.97941176470588	1037	999	998	-21	-22	-21	38	1019	-1
3836305	selC	1.88421052631579	228.5	84	83	-11	-12	-65.5	144.5	94	53.5
3912617	glmS	1.42568306010929	934	779	778	-1051	-1052	-1132	155	1829	80
3912621	glmS	1.42786885245902	938	783	782	-1047	-1048	-1128	155	1829	80
3927503	asnA	1.35146022155086	423	349	348	-644	-645	-646.5	74	992	1.5
3927504	asnA	1.35246727089627	424	350	349	-643	-644	-645.5	74	992	1.5
3942145	rrsC	1.21919584954604	576.5	338	337	-1204	-1205	-1247	238.5	1541	42
3942718	rrsC	1.59079118028534	1149.5	911	910	-631	-632	-674	238.5	1541	42
3943146	rrsC	1.86835278858625	1577.5	1339	1338	-203	-204	-246	238.5	1541	42
3943209	rrsC	1.90920881971466	1640.5	1402	1401	-140	-141	-183	238.5	1541	42
3943836	rrlC	1.04579889807163	228	133	132	-2771	-2772	-2817.5	95	2903	45.5
3945615	rrlC	1.65840220385675	2007	1912	1911	-992	-993	-1038.5	95	2903	45.5
3945954	rrlC	1.77513774104683	2346	2251	2250	-653	-654	-699.5	95	2903	45.5
3946201	rrlC	1.86019283746556	2593	2498	2497	-406	-407	-452.5	95	2903	45.5
3946255	rrlC	1.87878787878788	2647	2552	2551	-352	-353	-398.5	95	2903	45.5
3991168	cyaA	1.00628190027483	207.5	16	15	-2531	-2532	-2551	191.5	2546	19
