coord	gene_name	rel_location	utr5_st	utr5_end	cds_st	cds_end	utr3_st	utr3_end	utr5_size	cds_size	utr3_size
40669	PA0039	1.35526315789474	172	81	80	-147	-148	-296	91	227	148
342258	spuF	1.99393939393939	1175	1148	1147	-7	-8	-21	27	1154	13
342263	spuF	1.9982683982684	1180	1153	1152	-2	-3	-16	27	1154	13
683070	PA0623	2	510	504	503	0	-1	-8	6	503	7
699023	PA0642	1.11660329531052	209	92	91	-697	-698	-709	117	788	11
699027	PA0642	1.12167300380228	213	96	95	-693	-694	-705	117	788	11
735488	vreR	1.00208333333333	36	2	1	-958	-959	-963	34	959	4
921989	cerN	1.09836065573771	368	198	197	-1815	-1816	-2004	170	2012	188
921994	cerN	1.10084451068058	373	203	202	-1810	-1811	-1999	170	2012	188
1062779	PA0980	1.6280701754386	294	179	178	-106	-107	-124	115	284	17
1073546	cupC1	1.42394822006472	484	262	261	-356	-357	-385	222	617	28
1073547	cupC1	1.42556634304207	485	263	262	-355	-356	-384	222	617	28
1073552	cupC1	1.4336569579288	490	268	267	-350	-351	-379	222	617	28
1093304	dapA	1.06143344709898	145	54	53	-825	-826	-834	91	878	8
1559558	lasI	1.503300330033	370	305	304	-301	-302	-355	65	605	53
1617556	PA1490	1.08751608751609	269	68	67	-709	-710	-883	201	776	173
1617562	PA1490	1.0952380952381	275	74	73	-703	-704	-877	201	776	173
1642845	vgrG2a	1.53341241597469	1346	1349	1348	-1180	-1181	-1271	-3	2528	90
1726666	sucA	1.8555790960452	2551	2423	2422	-409	-410	-431	128	2831	21
1726668	sucA	1.85628531073446	2553	2425	2424	-407	-408	-429	128	2831	21
1913083	PA1769	1.04484848484848	182	37	36	-788	-789	-871	145	824	82
1921243	oprF	1.0664767331434	124	70	69	-983	-984	-1018	54	1052	34
1921247	oprF	1.07027540360874	128	74	73	-979	-980	-1014	54	1052	34
1951734	parR	1.01271186440678	8	9	8	-699	-700	-815	-1	707	115
2005306	cti	1.02315421581477	233	53	52	-2236	-2237	-2298	180	2288	61
2008750	PA1848	1.37863247863248	472	443	442	-727	-728	-730	29	1169	2
2050269	PA1880	1.14617486338798	399	321	320	-1875	-1876	-1878	78	2195	2
2050274	PA1880	1.14845173041894	404	326	325	-1870	-1871	-1873	78	2195	2
2081864	femA	1.00496894409938	32	12	11	-2403	-2404	-2508	20	2414	104
2109774	PA1929	1.73063973063973	240	217	216	-80	-81	-266	23	296	185
2203575	liuB	1.07213930348259	122	116	115	-1492	-1493	-1554	6	1607	61
2203578	liuB	1.07400497512438	125	119	118	-1489	-1490	-1551	6	1607	61
2316205	PA2104	1.54139433551198	506	497	496	-421	-422	-462	9	917	40
2328183	PA2116	1.98997493734336	843	790	789	-8	-9	0	53	797	-9
2328184	PA2116	1.99122807017544	844	791	790	-7	-8	1	53	797	-9
2328187	PA2116	1.99498746867168	847	794	793	-4	-5	4	53	797	-9
2400770	PA2179	1.12197686645636	303	116	115	-835	-836	-827	187	950	-9
2400775	PA2179	1.12723449001052	308	121	120	-830	-831	-822	187	950	-9
2450614	PA2228	1.87541254125413	1065	1061	1060	-151	-152	-622	4	1211	470
2450619	PA2228	1.87953795379538	1070	1066	1065	-146	-147	-617	4	1211	470
2623564	PA2372	1.49040139616056	291	281	280	-292	-293	-466	10	572	173
2655210	fpvA	1.00980392156863	75	24	23	-2424	-2425	-2506	51	2447	81
2655214	fpvA	1.01143790849673	79	28	27	-2420	-2421	-2502	51	2447	81
2655215	fpvA	1.01184640522876	80	29	28	-2419	-2420	-2501	51	2447	81
2682478	PA2402	1.6957928802589	10799	10750	10749	-4700	-4701	-4860	49	15449	159
2682479	PA2402	1.69585760517799	10800	10751	10750	-4699	-4700	-4859	49	15449	159
