coord	gene_name	rel_location	utr5_st	utr5_end	cds_st	cds_end	utr3_st	utr3_end	utr5_size	cds_size	utr3_size
40669	PA0039	1.35526315789474	172	81	80	-147	-148	-296	91	227	148
342258	spuF	1.99393939393939	1175	1148	1147	-7	-8	-21	27	1154	13
342262	spuF	1.9974025974026	1179	1152	1151	-3	-4	-17	27	1154	13
342263	spuF	1.9982683982684	1180	1153	1152	-2	-3	-16	27	1154	13
555002	PA0495	1.70534698521047	620	620	619	-259	-260	-254	0	878	-6
683070	PA0623	2	510	504	503	0	-1	-8	6	503	7
699023	PA0642	1.11660329531052	209	92	91	-697	-698	-709	117	788	11
699024	PA0642	1.11787072243346	210	93	92	-696	-697	-708	117	788	11
699025	PA0642	1.1191381495564	211	94	93	-695	-696	-707	117	788	11
699027	PA0642	1.12167300380228	213	96	95	-693	-694	-705	117	788	11
729793	PA0669	1.70607235142119	2362	2186	2185	-910	-911	-898	176	3095	-13
735488	vreR	1.00208333333333	36	2	1	-958	-959	-963	34	959	4
797351	PA0729	1.29022988505747	338	101	100	-247	-248	-309	237	347	61
921989	cerN	1.09836065573771	368	198	197	-1815	-1816	-2004	170	2012	188
921994	cerN	1.10084451068058	373	203	202	-1810	-1811	-1999	170	2012	188
1044610	oprD	1.47147147147147	659	628	627	-704	-705	-963	31	1331	258
1052136	ruvA	1.76567656765677	472	464	463	-142	-143	-148	8	605	5
1062779	PA0980	1.6280701754386	294	179	178	-106	-107	-124	115	284	17
1073546	cupC1	1.42394822006472	484	262	261	-356	-357	-385	222	617	28
1073547	cupC1	1.42556634304207	485	263	262	-355	-356	-384	222	617	28
1073552	cupC1	1.4336569579288	490	268	267	-350	-351	-379	222	617	28
1093304	dapA	1.06143344709898	145	54	53	-825	-826	-834	91	878	8
1227771	PA1136	1.40710382513661	383	298	297	-434	-435	-438	85	731	3
1559558	lasI	1.503300330033	370	305	304	-301	-302	-355	65	605	53
1617556	PA1490	1.08751608751609	269	68	67	-709	-710	-883	201	776	173
1617562	PA1490	1.0952380952381	275	74	73	-703	-704	-877	201	776	173
1642845	vgrG2a	1.53341241597469	1346	1349	1348	-1180	-1181	-1271	-3	2528	90
1726666	sucA	1.8555790960452	2551	2423	2422	-409	-410	-431	128	2831	21
1726668	sucA	1.85628531073446	2553	2425	2424	-407	-408	-429	128	2831	21
1845871	PA1697	1.11942554799698	155	158	157	-1165	-1166	-1261	-3	1322	95
1913083	PA1769	1.04484848484848	182	37	36	-788	-789	-871	145	824	82
1921243	oprF	1.0664767331434	124	70	69	-983	-984	-1018	54	1052	34
1921247	oprF	1.07027540360874	128	74	73	-979	-980	-1014	54	1052	34
1951734	parR	1.01271186440678	8	9	8	-699	-700	-815	-1	707	115
2005306	cti	1.02315421581477	233	53	52	-2236	-2237	-2298	180	2288	61
2008750	PA1848	1.37863247863248	472	443	442	-727	-728	-730	29	1169	2
2038765	PA1874	1.31389226407452	2575	2325	2324	-5082	-5083	-5082	250	7406	-1
2050269	PA1880	1.14617486338798	399	321	320	-1875	-1876	-1878	78	2195	2
2050273	PA1880	1.14799635701275	403	325	324	-1871	-1872	-1874	78	2195	2
2050274	PA1880	1.14845173041894	404	326	325	-1870	-1871	-1873	78	2195	2
2081864	femA	1.00496894409938	32	12	11	-2403	-2404	-2508	20	2414	104
2109774	PA1929	1.73063973063973	240	217	216	-80	-81	-266	23	296	185
2203575	liuB	1.07213930348259	122	116	115	-1492	-1493	-1554	6	1607	61
2203578	liuB	1.07400497512438	125	119	118	-1489	-1490	-1551	6	1607	61
2316205	PA2104	1.54139433551198	506	497	496	-421	-422	-462	9	917	40
2328181	PA2116	1.9874686716792	841	788	787	-10	-11	-2	53	797	-9
