coord	gene_name	rel_location	utr5_st	utr5_end	cds_st	cds_end	utr3_st	utr3_end	utr5_size	cds_size	utr3_size
92560	ftsI	1.64968873797397	1154	1148	1147	-619	-620	-612.5	6	1766	-7.5
92564	ftsI	1.65195246179966	1158	1152	1151	-615	-616	-608.5	6	1766	-7.5
95154	murF	1.37159676232524	501.5	505	504	-854	-855	-851	-3.5	1358	-4
95155	murF	1.37233259749816	502.5	506	505	-853	-854	-850	-3.5	1358	-4
95157	murF	1.373804267844	504.5	508	507	-851	-852	-848	-3.5	1358	-4
155975	yadV	1.69500674763833	530.5	515	514	-226	-227	-275	15.5	740	48
181361	degP	1.33543859649123	541	478	477	-947	-948	-1024.5	63	1424	76.5
185312	dapD	1.23030303030303	215	190	189	-635	-636	-650.5	25	824	14.5
304453	ecpE	0.736334405144695	113.5	-41	-42	-752	-753	-736.5	154.5	710	-16.5
304455	ecpE	0.7491961414791	115.5	-39	-40	-750	-751	-734.5	154.5	710	-16.5
344399	yahL	1.27450980392157	343.5	224	223	-592	-593	-798.5	119.5	815	205.5
344400	yahL	1.27573529411765	344.5	225	224	-591	-592	-797.5	119.5	815	205.5
344402	yahL	1.2781862745098	346.5	227	226	-589	-590	-795.5	119.5	815	205.5
344404	yahL	1.28063725490196	348.5	229	228	-587	-588	-793.5	119.5	815	205.5
384095	yaiS	1.0663082437276	97	37	36	-521	-522	-829	60	557	307
598950	cusA	1.07538167938931	241	237	236	-2907	-2908	-2958	4	3143	50
598956	cusA	1.07729007633588	247	243	242	-2901	-2902	-2952	4	3143	50
657513	cspE	2.44444444444444	307.5	222	221	12	11	-15	85.5	209	26
741147	dtpD	1.04925775978408	146	73	72	-1409	-1410	-1544.5	73	1481	134.5
754602	gltA	2.37799717912553	1611	1418	1417	134	133	-220.5	193	1283	353.5
864070	fsaA	1.64705882352941	492.5	429	428	-234	-235	-272	63.5	662	37
1007823	rlmL	0.834710743801653	100	-20	-21	-2129	-2130	-2135	120	2108	5
1046636	gfcD	1.37577491654745	809	788	787	-1309	-1310	-1309	21	2096	-1
1046637	gfcD	1.37625178826896	810	789	788	-1308	-1309	-1308	21	2096	-1
1046642	gfcD	1.37863614687649	815	794	793	-1303	-1304	-1303	21	2096	-1
1261171	prs	1.25738396624473	304.5	244	243	-704	-705	-779.5	60.5	947	74.5
1261175	prs	1.26160337552743	308.5	248	247	-700	-701	-775.5	60.5	947	74.5
1333188	topA	1.82409545804465	2329	2141	2140	-457	-458	-562	188	2597	104
1352832	sapD	1.19838872104733	196	197	196	-796	-797	-796	-1	992	-1
1585688	ydeP	1.65	1604	1482	1481	-798	-799	-965	122	2279	166
1585691	ydeP	1.65131578947368	1607	1485	1484	-795	-796	-962	122	2279	166
1585692	ydeP	1.65175438596491	1608	1486	1485	-794	-795	-961	122	2279	166
1590234	yneL	0.217391304347826	26.5	-99	-100	-192	-193	-192	125.5	92	-1
1590238	yneL	0.24901185770751	30.5	-95	-96	-188	-189	-188	125.5	92	-1
1605394	lsrB	1.33626588465298	348	344	343	-679	-680	-692.5	4	1022	12.5
1605397	lsrB	1.33919843597263	351	347	346	-676	-677	-689.5	4	1022	12.5
1720771	slyA	1.87816091954023	403.5	382	381	-53	-54	-153.5	21.5	434	99.5
1720775	slyA	1.88735632183908	407.5	386	385	-49	-50	-149.5	21.5	434	99.5
1745518	ydhQ	1.51551312649165	666.5	648	647	-609	-610	-763	18.5	1256	153
1851881	ansA	2.90909090909091	1103.5	1022	1021	5	4	-0.5	81.5	1016	4.5
1904737	manZ	1.98943661971831	847.5	843	842	-9	-10	-36.5	4.5	851	26.5
1904739	manZ	1.99178403755869	849.5	845	844	-7	-8	-34.5	4.5	851	26.5
1904740	manZ	1.99295774647887	850.5	846	845	-6	-7	-33.5	4.5	851	26.5
1904745	manZ	1.99882629107981	855.5	851	850	-1	-2	-28.5	4.5	851	26.5
1931776	purT	1.75996607294317	961	896	895	-283	-284	-311	65	1178	27
2108202	glf	1.88496376811594	975	977	976	-127	-128	-131	-2	1103	3
2108203	glf	1.88586956521739	976	978	977	-126	-127	-130	-2	1103	3
2108334	wzxB	0.333333333333333	0	-2	-3	-1250	-1251	-1248.5	2	1247	-2.5
2400774	nuoF	1.41629297458894	581.5	557	556	-781	-782	-779.5	24.5	1337	-2.5
2400777	nuoF	1.41853512705531	584.5	560	559	-778	-779	-776.5	24.5	1337	-2.5
2400779	nuoF	1.42002989536622	586.5	562	561	-776	-777	-774.5	24.5	1337	-2.5
2401070	nuoF	1.63751868460389	877.5	853	852	-485	-486	-483.5	24.5	1337	-2.5
2401650	nuoE	1.19760479041916	95.5	99	98	-402	-403	-403.5	-3.5	500	0.5
2416405	pta	1.77342657342657	1694.5	1659	1658	-486	-487	-581	35.5	2144	94
2416409	pta	1.77529137529138	1698.5	1663	1662	-482	-483	-577	35.5	2144	94
2430272	cvpA	0.885714285714286	14.5	-2	-3	-491	-492	-620.5	16.5	488	128.5
2430274	cvpA	1	16.5	0	-1	-489	-490	-618.5	16.5	488	128.5
2580636	tktB	1.49950099800399	1009	1001	1000	-1003	-1004	-1050.5	8	2003	46.5
2580639	tktB	1.50099800399202	1012	1004	1003	-1000	-1001	-1047.5	8	2003	46.5
2705030	lepB	1.71384615384615	830	696	695	-279	-280	-287	134	974	7
2712751	trmN	1.98238482384824	715.5	725	724	-13	-14	-79	-9.5	737	65
2712753	trmN	1.98509485094851	717.5	727	726	-11	-12	-77	-9.5	737	65
2712754	trmN	1.98644986449865	718.5	728	727	-10	-11	-76	-9.5	737	65
2712755	trmN	1.98780487804878	719.5	729	728	-9	-10	-75	-9.5	737	65
2712757	trmN	1.99051490514905	721.5	731	730	-7	-8	-73	-9.5	737	65
2758360	yfjH	1.74921630094044	837	717	716	-240	-241	-262	120	956	21
2758361	yfjH	1.75026123301985	838	718	717	-239	-240	-261	120	956	21
2758362	yfjH	1.75130616509927	839	719	718	-238	-239	-260	120	956	21
2802924	nrdE	1.73519813519814	1561.5	1577	1576	-568	-569	-573	-15.5	2144	4
2878462	ygbF	0.776606954689146	367.5	-106	-107	-391	-392	-392	473.5	284	0
2880782	casD	1.60592592592593	400.5	409	408	-266	-267	-267.5	-8.5	674	0.5
3079690	tktA	1.02359437751004	202	47	46	-1945	-1946	-2084	155	1991	138
3084324	speA	1.19726858877086	457	390	389	-1587	-1588	-1591.5	67	1976	3.5
3089157	galP	1.62652329749104	1084	874	873	-521	-522	-559.5	210	1394	37.5
3179999	ygiB	1.38095238095238	328	256	255	-416	-417	-419	72	671	2
3180005	ygiB	1.38988095238095	334	262	261	-410	-411	-413	72	671	2
3207850	ttdB	1.79207920792079	476.5	480	479	-126	-127	-150	-3.5	605	23
3267712	tdcR	2.890625	488.5	333	332	114	113	-14	155.5	218	127
3410754	dusB	1.49171842650104	637.5	475	474	-491	-492	-504	162.5	965	12
3410755	dusB	1.49275362318841	638.5	476	475	-490	-491	-503	162.5	965	12
3410760	dusB	1.49792960662526	643.5	481	480	-485	-486	-498	162.5	965	12
3452402	rplC	1.16825396825397	109.5	106	105	-524	-525	-540.5	3.5	629	15.5
3472764	fusA	1.64539007092199	1398.5	1365	1364	-750	-751	-764	33.5	2114	13
3473866	rpsG	1.60185185185185	337	325	324	-215	-216	-263.5	12	539	47.5
3575534	yhgN	1.78114478114478	558.5	464	463	-130	-131	-158.5	94.5	593	27.5
3575537	yhgN	1.78619528619529	561.5	467	466	-127	-128	-155.5	94.5	593	27.5
3575538	yhgN	1.78787878787879	562.5	468	467	-126	-127	-154.5	94.5	593	27.5
3575540	yhgN	1.79124579124579	564.5	470	469	-124	-125	-152.5	94.5	593	27.5
3647674	gor	2.85185185185185	1410	1376	1375	23	22	-4	34	1352	26
3745986	yiaN	1.92566510172144	1182.5	1183	1182	-95	-96	-101.5	-0.5	1277	5.5
3782500	cysE	1.92457420924574	784.5	760	759	-62	-63	-102	24.5	821	39
3782501	cysE	1.92579075425791	785.5	761	760	-61	-62	-101	24.5	821	39
3783640	gpsA	1.97941176470588	1037	999	998	-21	-22	-21	38	1019	-1
3912617	glmS	1.42568306010929	934	779	778	-1051	-1052	-1132	155	1829	80
3912621	glmS	1.42786885245902	938	783	782	-1047	-1048	-1128	155	1829	80
3927503	asnA	1.35146022155086	423	349	348	-644	-645	-646.5	74	992	1.5
3927504	asnA	1.35246727089627	424	350	349	-643	-644	-645.5	74	992	1.5
3991168	cyaA	1.00628190027483	207.5	16	15	-2531	-2532	-2551	191.5	2546	19
4070696	yihS	1.14653784219002	237	182	181	-1060	-1061	-1068.5	55	1241	7.5
4070701	yihS	1.15056360708535	242	187	186	-1055	-1056	-1063.5	55	1241	7.5
4179414	rplA	1.76028368794326	536	536	535	-169	-170	-375.5	0	704	205.5
4337272	adiY	1.13779527559055	171.5	105	104	-657	-658	-819.5	66.5	761	161.5
4337273	adiY	1.13910761154856	172.5	106	105	-656	-657	-818.5	66.5	761	161.5
4337274	adiY	1.14041994750656	173.5	107	106	-655	-656	-817.5	66.5	761	161.5
4337275	adiY	1.14173228346457	174.5	108	107	-654	-655	-816.5	66.5	761	161.5
4337277	adiY	1.14435695538058	176.5	110	109	-652	-653	-814.5	66.5	761	161.5
4361524	cadC	1.73359324236517	1309.5	1129	1128	-410	-411	-538.5	180.5	1538	127.5
4361526	cadC	1.73489278752437	1311.5	1131	1130	-408	-409	-536.5	180.5	1538	127.5
4394056	queG	1.99035087719298	1118.5	1129	1128	-11	-12	-10.5	-10.5	1139	-1.5
4394057	queG	1.99122807017544	1119.5	1130	1129	-10	-11	-9.5	-10.5	1139	-1.5
4394060	queG	1.99385964912281	1122.5	1133	1132	-7	-8	-6.5	-10.5	1139	-1.5
4445484	tamB	1.36322751322751	1369.5	1373	1372	-2407	-2408	-2408.5	-3.5	3779	0.5
4606168	leuV	2.17142857142857	107.5	90	89	3	2	-14.5	17.5	86	16.5
4606172	leuV	2.4	111.5	94	93	7	6	-10.5	17.5	86	16.5
4606173	leuV	2.45714285714286	112.5	95	94	8	7	-9.5	17.5	86	16.5
30493	carA	1.73368146214099	1069	843	842	-306	-307	-315	226	1148	8
30494	carA	1.73455178416014	1070	844	843	-305	-306	-314	226	1148	8
30499	carA	1.73890339425587	1075	849	848	-300	-301	-309	226	1148	8
91183	ftsL	1.41530054644809	148.5	152	151	-214	-215	-222	-3.5	365	7
180919	degP	1.02526315789474	99	36	35	-1389	-1390	-1466.5	63	1424	76.5
295529	yagN	1.88662131519274	559	391	390	-50	-51	-108.5	168	440	57.5
430389	secF	1.91049382716049	888.5	885	884	-87	-88	-151.5	3.5	971	63.5
639197	ahpC	1.44858156028369	437	253	252	-311	-312	-433.5	184	563	121.5
874513	yliE	1.65346956151554	1622	1535	1534	-814	-815	-818	87	2348	3
1116667	lpxL	2.75555555555556	1090	1006	1005	85	84	-27.5	84	920	111.5
1172976	mfd	1.71337394836089	2529	2459	2458	-988	-989	-1052	70	3446	63
1173752	mfd	1.93849724398027	3305	3235	3234	-212	-213	-276	70	3446	63
1332413	topA	1.52578906851424	1554	1366	1365	-1232	-1233	-1337	188	2597	104
1497490	opgD	1.38345410628019	745.5	635	634	-1021	-1022	-1091	110.5	1655	69
1573013	pqqL	1.21709585121602	786	607	606	-2189	-2190	-2211.5	179	2795	21.5
1627803	ydfG	1.38420348058902	353.5	287	286	-460	-461	-504.5	66.5	746	43.5
1654719	rspA	1.65267489711934	797	793	792	-422	-423	-525	4	1214	102
1720773	slyA	1.88275862068966	405.5	384	383	-51	-52	-151.5	21.5	434	99.5
1997882	yecS	1.10762331838565	68.5	72	71	-597	-598	-604.5	-3.5	668	6.5
2048795	yeeJ	1.54514624841034	4013	3858	3857	-3219	-3220	-3350	155	7076	130
2142722	udk	1.64797507788162	460	416	415	-226	-227	-385	44	641	158
2142724	udk	1.65109034267913	462	418	417	-224	-225	-383	44	641	158
2260252	fruA	1.31560283687943	743.5	534	533	-1158	-1159	-1166.5	209.5	1691	7.5
2339361	gyrA	1.97754946727549	2641.5	2569	2568	-59	-60	-132.5	72.5	2627	72.5
2385005	yfbK	1.58506944444444	1044.5	1011	1010	-717	-718	-786	33.5	1727	68
2460119	fadI	1.73302822273074	959	961	960	-350	-351	-440.5	-2	1310	89.5
2580634	tktB	1.49850299401198	1007	999	998	-1005	-1006	-1052.5	8	2003	46.5
2580635	tktB	1.49900199600798	1008	1000	999	-1004	-1005	-1051.5	8	2003	46.5
2681632	yphG	1.66087751371115	2215.5	2169	2168	-1113	-1114	-1172	46.5	3281	58
2931649	ygdG	1.78703703703704	649	595	594	-161	-162	-188.5	54	755	26.5
3212814	dnaG	1.97823596792669	1761.5	1708	1707	-38	-39	-135.5	53.5	1745	96.5
3212817	dnaG	1.97995418098511	1764.5	1711	1710	-35	-36	-132.5	53.5	1745	96.5
3228873	ygjJ	2.23529411764706	1138	1073	1072	2	1	-6.5	65	1070	7.5
3228877	ygjJ	2.70588235294118	1142	1077	1076	6	5	-2.5	65	1070	7.5
3338092	mlaD	1.33152173913043	190.5	183	182	-369	-370	-371.5	7.5	551	1.5
3452405	rplC	1.17301587301587	112.5	109	108	-521	-522	-537.5	3.5	629	15.5
3778672	lldP	1.76932367149758	1458	1274	1273	-382	-383	-382	184	1655	-1
4173831	birA	1.77639751552795	746.5	750	749	-216	-217	-230.5	-3.5	965	13.5
4173836	birA	1.7815734989648	751.5	755	754	-211	-212	-225.5	-3.5	965	13.5
4385223	yjeM	1.92149035262808	1492.5	1385	1384	-118	-119	-144	107.5	1502	25
4499563	yjgX	0.362637362637363	15.5	-29	-30	-971	-972	-971	44.5	941	-1
4502787	insG	1.51542513167795	940	685	684	-644	-645	-957.5	255	1328	312.5
4511177	fecE	1.63541666666667	764.5	488	487	-280	-281	-280.5	276.5	767	-0.5
4511178	fecE	1.63671875	765.5	489	488	-279	-280	-279.5	276.5	767	-0.5
4511180	fecE	1.63932291666667	767.5	491	490	-277	-278	-277.5	276.5	767	-0.5
4606174	leuV	2.51428571428571	113.5	96	95	9	8	-8.5	17.5	86	16.5
4611525	osmY	1.21452145214521	324.5	130	129	-476	-477	-539.5	194.5	605	62.5
4611531	osmY	1.22442244224422	330.5	136	135	-470	-471	-533.5	194.5	605	62.5
